ZOOL 409 student sign up (only one student per chemical),Contact (https://www.boisestate.edu/research-gutt-c/) in GUTT group who provided list,Study organism(s),Chemical name,CAS,IUPAC identifier,SMILES notation (2.1.4 PubChem),Links to structures (if available),Chemical formula,M/Z,Molecular weight,literature reference
,Marjorie Matocq UNR,Prunus fasciculata,Prunasin,,"

",,,,,,
,Marjorie Matocq UNR,Prunus fasciculata,amygdalin,,https://pubchem.ncbi.nlm.nih.gov/compound/656516,,,,,,
,Marjorie Matocq UNR,Frangula californica,Emodin,,https://pubchem.ncbi.nlm.nih.gov/compound/3220,,,,,,
,Casey Philbin UNR,Eriogonum spp.,Hordenine,,https://pubchem.ncbi.nlm.nih.gov/compound/68313,,,,,,
,Casey Philbin UNR,Eriogonum spp.,N-methyl-4-methoxyphenethylamine,,https://pubchem.ncbi.nlm.nih.gov/compound/104735,,,,,,
,"Deb Conner from Turi (https://doi.org/10.1016/j.phytochem.2013.11.016) (BSU, Forbey lab,https://www.boisestate.edu/biology/faculty-and-staff/faculty/jennifer-forbey/)",Sagebrush (Artemisia spp),Chrysanthemol,5617-92-5,"[2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropyl]methanol",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Trans-chrysanthemal,,"(1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carbaldehyde",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Methyl santolinate,,"methyl 3-ethenyl-2,5-dimethylhex-4-enoate",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolina triene,2153-66-4,"3-ethenyl-2,5-dimethylhexa-1,4-diene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Oxidosantolinatriene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Artemisia triene,18383-70-5,"(3E)-2,5,5-trimethylhepta-1,3,6-triene",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinolide-A,14804-52-5,"(3S,3aS,5aR,9R,9aS,9bS)-3,5a,9-trimethyl-3,3a,4,5,6,7,8,9,9a,9b-decahydrobenzo[g][1]benzofuran-2-one",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Santolinolide-B,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"Artemiseole, artemeseole, arthole",660485-46-3,"6-ethenyl-1,4,4-trimethyl-3-oxabicyclo[3.1.0]hexane",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Rothrockene,,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Neolyratol,90823-34-0,(3S)-3-ethenyl-5-methyl-2-methylidenehex-4-en-1-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"1,6,6-Trimethyl-4-ethenyl-exo2-oxabicyclo[3.1.0]hexane",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Lavandulol,498-16-8,(2R)-5-methyl-2-prop-1-en-2-ylhex-4-en-1-ol,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Arbusculone,,"(e)-2-acetyl-5-methyl-5-ethenyl-tetrahydro-furan

5-Methyl-5-vinyltetrahydrofur-2-yl methyl ketone  1-(5-Ethenyl-5-methyloxolan-2-yl)ethanone",,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2,2-Dimethyl-6-isopropenyl-2Hpyran",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2,3-Dimethyl-6-isopropyl-4Hpyran",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),"2-Isopropenyl-5-methylhexatrans-3,5-dien-1-ol",,,,,,,,
,Deb Conner (BSU),Sagebrush (Artemisia spp),Alpha-pinene,80-56-8,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",,,,,,
